Kinase,Substrate,cdf_x,INVLog2FoldChange,Substrate_effect,Phosphosite,Log2FoldChange,TotalWalks_x,cdf_y,TotalWalks_y,Change (%)
FRK,PTEN,0.3495145631067995,571.6666666666666,+,Y336,-571.6666666666666,2758,0.3495145631067995,3673,-33.17621464829588
PDGFRA,PRKCD,0.9048543689320389,4824.833333333336,+,Y334,-4824.833333333336,8241,0.9048543689320389,15882,-92.71933017837642
LYN,PRKCD,0.9048543689320389,4824.833333333336,+,Y334,-4824.833333333336,3199,0.9048543689320389,11211,-250.45326664582683
PDGFRB,PRKCD,0.9048543689320389,4824.833333333336,+,Y334,-4824.833333333336,8090,0.9048543689320389,15544,-92.13844252163165
SRC,PRKCD,0.9048543689320389,4824.833333333336,+,Y334,-4824.833333333336,7945,0.9048543689320389,29492,-271.20201384518566
SRC,STAT1,0.8990291262135922,4386.444444444443,+,Y701,-4386.444444444443,6936,0.8990291262135922,22992,-231.48788927335642
SRC,ABL1,0.786407766990291,2538.333333333334,+,Y469,-2538.333333333334,7952,0.786407766990291,15106,-89.96478873239437
SRC,IGF1R,0.7669902912621356,2323.166666666667,+,Y1161,-2323.166666666667,7847,0.7669902912621356,13633,-73.73518542118006
YES1,PRKCD,0.9048543689320389,4824.833333333336,+,Y334,-4824.833333333336,16062,0.9048543689320389,18593,-15.757688955298207
JAK1,STAT1,0.8990291262135922,4386.444444444443,+,Y701,-4386.444444444443,856,0.8990291262135922,978,-14.252336448598129
MAP3K6,MAPK14,0.8796116504854368,3961.083333333334,+,T180,-3961.083333333334,8103,0.8796116504854368,11335,-39.88646180427003
PBK,MAPK14,0.8796116504854368,3961.083333333334,+,T180,-3961.083333333334,11385,0.8796116504854368,17249,-51.50636802810715
MAP2K6,MAPK14,0.8796116504854368,3961.083333333334,+,T180,-3961.083333333334,4045,0.8796116504854368,8846,-118.68974042027193
MAP2K6,MAPK9,0.7553398058252424,2266.5,+,T183,-2266.5,3970,0.7553398058252424,4828,-21.61209068010075
MAP2K4,MAPK14,0.8796116504854368,3961.083333333334,+,T180,-3961.083333333334,4122,0.8796116504854368,8976,-117.75836972343524
MAP2K4,MAPK9,0.7553398058252424,2266.5,+,Y185,-2266.5,4022,0.7553398058252424,4923,-22.401790154152152
MERTK,MERTK,0.8582524271844659,3516.0833333333335,+,Y753,-3516.0833333333335,5312,0.8582524271844659,12514,-135.57981927710844
MERTK,STAT5A,0.6291262135922338,1353.666666666666,+,Y694,-1353.666666666666,2654,0.6291262135922338,12405,-367.4076865109269
AXL,FYN,0.8427184466019416,3338.000000000001,+,Y420,-3338.000000000001,3121,0.8427184466019416,10515,-236.91124639538612
BRSK1,BRSK1,0.8077669902912619,2817.666666666666,+,T189,-2817.666666666666,15068,0.8077669902912619,33491,-122.26572869657551
BRSK1,WEE1,0.3631067961165081,602.3333333333335,-,S642,-602.3333333333335,20687,0.3631067961165081,34683,-67.65601585536811
CAMK2A,BRSK1,0.8077669902912619,2817.666666666666,+,T189,-2817.666666666666,10541,0.8077669902912619,22440,-112.8830281756949
CAMK2A,GRIA1,0.7300970873786405,2044.1666666666665,+,S849,-2044.1666666666665,7234,0.7300970873786405,11549,-59.648880287531114
CAMK2A,CAMK2A,0.6621359223300974,1553.666666666667,+,T286,-1553.666666666667,8599,0.6621359223300974,9736,-13.222467728805668
ABL1,ABL1,0.786407766990291,2538.333333333334,+,Y469,-2538.333333333334,4470,0.786407766990291,16801,-275.8612975391499
ABL1,CDK5,0.4194174757281579,733.5,-,Y15,-733.5,2391,0.4194174757281579,7613,-218.40234211626932
ABL1,PTPN11,0.39029126213592524,666.8333333333333,+,Y584,-666.8333333333333,2448,0.39029126213592524,6750,-175.73529411764707
ABL1,PTPN6,0.33980582524272196,563.1666666666661,,Y564,-563.1666666666661,2274,0.33980582524272196,5787,-154.48548812664907
LRRK2,MAP3K5,0.7825242718446599,2493.666666666667,+,T838,-2493.666666666667,8005,0.7825242718446599,12439,-55.39038101186756
MELK,MAP3K5,0.7825242718446599,2493.666666666667,+,T838,-2493.666666666667,8021,0.7825242718446599,11375,-41.81523500810374
PDPK1,MAP3K5,0.7825242718446599,2493.666666666667,+,T838,-2493.666666666667,1940,0.7825242718446599,5552,-186.18556701030928
PDPK1,PRKCQ,0.6970873786407767,1735.6666666666665,+,S695,-1735.6666666666665,2020,0.6970873786407767,3829,-89.55445544554453
PDPK1,RPS6KB1,0.667961165048544,1565.333333333333,+,T252,-1565.333333333333,2029,0.667961165048544,3108,-53.1789058649581
PRKCA,GRIA1,0.7300970873786405,2044.1666666666665,+,S849,-2044.1666666666665,1245,0.7300970873786405,2244,-80.24096385542168
PRKCA,PTPN12,0.6990291262135921,1753.5000000000005,,S39,-1753.5000000000005,1112,0.6990291262135921,1962,-76.43884892086331
PRKCA,STXBP1,0.664077669902913,1556.0,,S313,-1556.0,1193,0.664077669902913,1686,-41.32439228834869
PRKCA,CAMK2A,0.6621359223300974,1553.666666666667,+,T286,-1553.666666666667,3157,0.6621359223300974,4880,-54.57713018688628
IGF1R,IGF1R,0.7669902912621356,2323.166666666667,+,Y1161,-2323.166666666667,6480,0.7669902912621356,13069,-101.6820987654321
RET,MAPK9,0.7553398058252424,2266.5,+,Y185,-2266.5,7937,0.7553398058252424,16969,-113.79614463903235
ERBB2,ERBB2,0.7320388349514562,2068.8333333333335,+,Y1248,-2068.8333333333335,3160,0.7320388349514562,4565,-44.46202531645568
PLK1,NPM1,0.6893203883495147,1671.666666666666,,S4,-1671.666666666666,10401,0.6893203883495147,19025,-82.91510431689261
RPS6KB1,EIF4B,0.6699029126213595,1570.9999999999998,-,S422,-1570.9999999999998,16723,0.6699029126213595,38271,-128.85247862225677
CAMK2B,CAMK2A,0.6621359223300974,1553.666666666667,+,T286,-1553.666666666667,8091,0.6621359223300974,9571,-18.291929304165123
CAMK2D,CAMK2A,0.6621359223300974,1553.666666666667,+,T286,-1553.666666666667,16193,0.6621359223300974,17118,-5.712344840363116
PTK2B,PTK2B,0.6233009708737871,1321.7499999999995,+,Y402,-1321.7499999999995,11408,0.6233009708737871,13317,-16.73387096774192
MET,MET,0.6058252427184474,1245.4999999999998,+,Y1003,-1245.4999999999998,11948,0.6058252427184474,16334,-36.70907264814193
MET,SRC,0.5184466019417491,936.3333333333335,+,Y419,-936.3333333333335,15510,0.5184466019417491,18300,-17.988394584139257
MET,GAB1,0.4932038834951473,878.0,,Y406,-878.0,11416,0.4932038834951473,13029,-14.129292221443592
AURKB,AURKB,0.5747572815533992,1110.1666666666665,+,S227,-1110.1666666666665,11952,0.5747572815533992,13447,-12.50836680053547
CAMK1,NOS1,0.506796116504856,906.9999999999998,,S746,-906.9999999999998,17792,0.506796116504856,35628,-100.24730215827338
CAMK1,CAMK1,0.4718446601941767,839.0000000000002,+,T177,-839.0000000000002,16132,0.4718446601941767,22075,-36.839821472848996
AURKA,PLK1,0.47961165048543875,855.833333333333,+,T210,-855.833333333333,5381,0.47961165048543875,8520,-58.33488199219477
STK10,PLK1,0.47961165048543875,855.833333333333,+,T210,-855.833333333333,5311,0.47961165048543875,7094,-33.57183204669553
GSK3A,MYC,0.4504854368932061,789.0,+,T58,-789.0,17665,0.4504854368932061,23319,-32.00679309368809
PRKCZ,PRKCD,0.44854368932039057,788.9999999999998,+,S664,-788.9999999999998,6060,0.44854368932039057,8464,-39.66996699669966
IKBKE,IKBKE,0.19805825242718966,334.5,+,S172,-334.5,8091,0.19805825242718966,11877,-46.79273266592509
IKBKE,ESR1,0.034951456310686746,41.16666666666674,,S167,-41.16666666666674,8091,0.034951456310686746,11877,-46.79273266592509
FER,FER,0.14757281553398638,242.33333333333303,,Y714,-242.33333333333303,8265,0.14757281553398638,12244,-48.14277071990321
FER,STAT3,0.0038834951456385713,13.666666666666742,+,Y705,-13.666666666666742,8265,0.0038834951456385713,12244,-48.14277071990321
