Antibody Code,Antibody Name,Target Name,Pan or P-Site,Antibody Type,Target Full Name,Target Uniprot ID,Target Refseq ID
NK124-2,,PAK6,Pan-specific,,,Q9NQU5,
NK125,PCTK1,PCTK1 (PCTAIRE1),Pan-specific,Rabbit polyclonal,PCTAIRE-1 protein-serine kinase,Q00536,NP_148978
NK126-1,,PDK1,Pan-specific,,3-phosphoinositide-dependent protein-serine kinase 1,O15530,NP_002604
NK126-2,,PDK1,Pan-specific,,3-phosphoinositide-dependent protein-serine kinase 1,O15530,NP_002604
NK126-3,,PDK1 (PDPK1),Pan-specific,,,O15530,
NK126-4,,PDK1 (PDPK1),Pan-specific,,,O15530,
NK127-1,,PKA Ca/b,Pan-specific,,cAMP-dependent protein-serine kinase catalytic subunit alpha/beta,P17612,NP_002721
NK127-2,PKA Ca/b,PRKACA,Pan-specific,Rabbit polyclonal,cAMP-dependent protein kinase catalytic subunit alpha,P17612,NP_002721
NK127-3,,PRKACA (PKA),Pan-specific,,cAMP-dependent protein kinase catalytic subunit alpha,P17612,NP_002721
NK128,,PKA R2a,Pan-specific,,cAMP-dependent protein-serine kinase regulatory type 2 subunit alpha,P13861,NP_004148
NK129,,Akt1 (PKBa),Pan-specific,,RAC-alpha serine/threonine-protein kinase,P31749,NP_005154
NK129-2,,PKBa (Akt1),Pan-specific,,Protein-serine kinase B alpha,P31749,NP_005154
NK129-3,,Akt1 (PKBa),Pan-specific,,,P31749,
NK129-4,,Akt1-2,Pan-specific,,,,
NK129-5,,Akt1 (PKBa),Pan-specific,,,P31749,
NK130-1,,PKBb (Akt2),Pan-specific,,Protein-serine kinase B beta,P31751,NP_001617
NK130-2,,PKBb (Akt2),Pan-specific,,Protein-serine kinase B beta,P31751,NP_001617
NK130-3,,Akt2 (PKBb),Pan-specific,,,P31751,
NK130-4,,Akt2 (PKBb),Pan-specific,,,P31751,
NK130-5,,PKBb (Akt2),Pan-specific,,Protein-serine kinase B beta,P31751,NP_001617
NK130-6,,PKBb (Akt2),Pan-specific,,Protein-serine kinase B beta,P31751,NP_001617
NK130-7,,PKBb (Akt2),Pan-specific,,Protein-serine kinase B beta,P31751,NP_001617
NK130-8,,Akt2 (PKBb),Pan-specific,,,P31751,
NK130-9,,Akt2 (PKBb),Pan-specific,,,P31751,
NK131-1,,PKBg (Akt3),Pan-specific,,Protein-serine kinase B gamma,Q9Y243,NP_005456
NK131-2,,PKBg (Akt3),Pan-specific,,Protein-serine kinase B gamma,Q9Y243,NP_005456
NK131-3,,Akt3 (PKBg),Pan-specific,,,Q9Y243,
NK132,,PKCa,Pan-specific,,Protein-serine kinase C alpha,P17252,NP_002728
NK133,,PKCb1,Pan-specific,,Protein-serine kinase C beta 1,P05771,NP_002729
NK133-1,,PKCb1,Pan-specific,,Protein-serine kinase C beta 1,P05771,NP_002729
NK133-2,,PKCb (PRKCB1),Pan-specific,,,P05771,
NK133-3,,PKCb (PRKCB1),Pan-specific,,Protein-serine kinase C beta 1,P05771,NP_002729
NK134,PKCb2,PKCb2 (PRKCB2),Pan-specific,Rabbit polyclonal,Protein-serine kinase C beta 2,P05771-2,AAA60095
NK134-2,,PKCb2,Pan-specific,,Protein-serine kinase C beta 2,P05771-2,AAA60095
NK134-3,,PKCb2 (PRKCB2),Pan-specific,,Protein-serine kinase C beta 2,P05771-2,NP_002729
NK135,,PKCd,Pan-specific,,Protein-serine kinase C delta,Q05655,NP_006245
NK136,,PKCe,Pan-specific,,Protein-serine kinase C epsilon,Q02156,NP_005391
NK136-2,,PKCe,Pan-specific,,Protein-serine kinase C epsilon,Q02156,NP_005391
NK137,,PKCg,Pan-specific,,Protein-serine kinase C gamma,P05129,NP_002730
NK137-2,,PKCg (PRKCG),Pan-specific,,Protein-serine kinase C gamma,P05129,NP_002730
NK138,PKCl,PKCl/I (PRKCI),Pan-specific,Rabbit polyclonal,Protein-serine kinase C lambda/iota,P41743,NP_002731
NK138-1,,PKCi (PRKCiota),Pan-specific,,Protein-serine kinase C lambda/iota,P41743,NP_002731
NK139,PKC-nu,PKN3,Pan-specific,Rabbit polyclonal,Protein-kinase C-related kinase 3,O94806,NP_005804
NK139-2,,PKD3 (PRKCN),Pan-specific,,,O94806,
NK140,,PKCq,Pan-specific,,Protein-serine kinase C theta,Q04759,NP_006248
NK141,,PKCz,Pan-specific,,Protein-serine kinase C zeta,Q05513,NP_002735
NK142,,PKCm (PKD),Pan-specific,,Protein-serine kinase C mu (Protein kinase D),Q15139,NP_002733
NK143,,PKG1,Pan-specific,,Protein-serine kinase G1 (cGMP-dependent protein kinase),Q13976,NP_006249
NK144-1,,PKR1,Pan-specific,,Double-stranded RNA-dependent protein-serine kinase (EIF2AK2),P19525,NP_002750
NK144-3,p68(PKR),PKR1 (PRKR; EIF2AK2),Pan-specific,Mouse monoclonal,Double stranded RNA dependent protein-serine kinase,P19525,NP_002750
NK144-4,PKR1,PKR1 (PRKR; EIF2AK2),Pan-specific,,Double stranded RNA dependent protein-serine kinase,P19525,NP_002750
NK145,,Plk1,Pan-specific,,Polo-like protein-serine kinase 1,P53350,NP_005021
NK145-2,,Plk1 (PLK),Pan-specific,,,P53350,
NK146,,Plk2,Pan-specific,,Polo-like protein kinase 2 (serum -inducible kinase (SNK)),Q9NYY3,NP_006613 
NK146-2,,Plk2,Pan-specific,,Polo-like protein kinase 2 (serum -inducible kinase (SNK)),Q9NYY3,NP_006613 
NK147,,Plk3,Pan-specific,,Polo-like protein kinase 3 (cytokine- inducible kinase (CNK)),Q9H4B4,NP_004064
NK147-2,,Plk3 (CNK; FNK),Pan-specific,,,Q9H4B4,
NK148,PKN1,PRK1 (PKN1),Pan-specific,Goat polyclonal,Protein kinase C-related protein-serine kinase 1,Q16512,NP_002732
NK149,PKN2,PRK2 (PKN2),Pan-specific,Rabbit polyclonal,Protein kinase C-related protein-serine kinase 2,Q16513,NP_006247
NK149-2,,PRK2 (PKN2),Pan-specific,,Protein kinase C-related protein-serine kinase 2,Q16513,NP_006247
NK149-3,,PKN2 (PRK2),Pan-specific,,Serine/threonine-protein kinase N2,Q16513,NP_006247.1
NK150,,PRKAB1,Pan-specific,,"5'-AMP-activated protein kinase (AMPK), beta-1 regulatory subunit",Q9Y478,NP_006244 
NK151,PRKWNK4,WNK4 (PRKWNK4),Pan-specific,Rabbit polyclonal,Putative protein-serine kinase WNK4,Q96J92,NP_115763
NK152,,PRP4K,Pan-specific,,Protein-serine kinase PRP4 homolog,Q13523,NP_003904 
NK153,,PyDK2 (PDHK2),Pan-specific,,Pyruvate dehydrogenase kinase isoform 2,Q15119,NP_002602 
NK154,,Pyk2,Pan-specific,,Protein-tyrosine kinase 2,Q14289,NP_004094
NK154-2,PYK2,PYK2 (PTK2B),Pan-specific,Mouse monoclonal,Protein-tyrosine kinase 2,Q14289,NP_004094
NK154-3,,PYK2 (PTK2B),Pan-specific,,Protein-tyrosine kinase 2,Q14289,NP_004094
NK155,,Raf1,Pan-specific,,Raf1 proto-oncogene-encoded protein-serine kinase,P04049,NP_002871
NK155-1,,Raf1,Pan-specific,,Raf1 proto-oncogene-encoded protein-serine kinase,P04049,NP_002871
NK155-2,,Raf1,Pan-specific,,Raf1 proto-oncogene-encoded protein-serine kinase,P04049,NP_002871
NK155-3,RAF1-C2,Raf1,Pan-specific,Rabbit polyclonal,Raf1 proto-oncogene-encoded protein-serine kinase,P04049,NP_002871
NK155-4,Raf1,Raf1,Pan-specific,Rabbit polyclonal,Raf1 proto-oncogene-encoded protein-serine kinase,P04049,NP_002871
NK155-5,,Raf1 (c-Raf; RafC),Pan-specific,,,P04049,
NK155-6,,Raf1-2,Pan-specific,,,,
NK155-7,,Raf1 (c-Raf; RafC),Pan-specific,,,P04049,
NK155-8,,Raf1 (c-Raf; RafC),Pan-specific,,,P04049,
NK156,,RafB (Braf),Pan-specific,,RafB proto-oncogene-encoded protein-serine kinase,P15056,NP_004324
NK156-1,,Raf-B (B-Raf; BRaf; RafB),Pan-specific,,,P15056,
NK156-2,,RafB (Braf),Pan-specific,,RafB proto-oncogene-encoded protein-serine kinase,P15056,NP_004324
NK156-4,,Raf-B (B-Raf; BRaf; RafB),Pan-specific,,,P15056,
NK156-5,,Raf1 (c-Raf; RafC),Pan-specific,,,P04049,
NK156-6,,Raf-B (B-Raf; BRaf; RafB),Pan-specific,,,P15056,
NK157,,RIP2/RICK,Pan-specific,,Receptor-interacting serine/threonine-protein kinase 2 (RIPK2),O43353,NP_003812
NK157-3,,RIPK2 (RICK; RIP2; CARD3),Pan-specific,,Receptor-interacting serine-threonine-protein kinase 2,O43353,NP_003812.1
NK158,,RIPK1,Pan-specific,,Receptor-interacting protein-serine kinase 1,Q13546,NP_003795
NK158-2,,RIPK1 (RIP; RIPK),Pan-specific,,Receptor-interacting protein-serine/threonine kinase 1,Q13546,NP_003795
NK159-1,ROCK2,ROCK2 (ROKa),Pan-specific,Mouse monoclonal,Rho-associated protein kinase 2,O75116,NP_004841
NK159-2,,ROCK2 (ROKa),Pan-specific,,Rho-associated protein kinase 2,O75116,NP_004841
NK160,,ROCK1 (ROKb),Pan-specific,,Rho-associated protein kinase 1,Q13464,NP_005397
NK161,,RONa,Pan-specific,,Macrophage-stimulating protein receptor alpha chain,Q04912,NP_002438
NK161-2,,Ron (RONa; MST1R),Pan-specific,,,Q04912,
NK161-3,,Ron (RONa; MST1R),Pan-specific,,,Q04912,
NK161-4,,Ron (RONa; MST1R),Pan-specific,,,Q04912,
NK162,,ROR2,Pan-specific,,ROR2 neurotrophic receptor-tyrosine kinase,Q01974,NP_004551
NK163,,ROS,Pan-specific,,Orosomucoid 1 receptor-tyrosine kinase,P08922,NP_002935
NK163-2,,Ros (ROS1),Pan-specific,,,P08922,
NK163-3,,Ros,Pan-specific,,Orosomucoid 1 receptor-tyrosine kinase; Proto-oncogene tyrosine-protein kinase ROS1,P08922,NP_002935
NK163-4,,Ros,Pan-specific,,Orosomucoid 1 receptor-tyrosine kinase; Proto-oncogene tyrosine-protein kinase ROS1,P08922,NP_002935
NK164,,RSK1,Pan-specific,,Ribosomal S6 protein-serine kinase 1,Q15418,NP_002944
NK164-1,RSK1,"RSK1 (RPS6KA1, p90RSK)",Pan-specific,Rabbit polyclonal,Ribosomal S6 protein-serine kinase 1,Q15418,NP_002944
NK164-2,,RSK1,Pan-specific,,Ribosomal S6 protein-serine kinase 1,Q15418,NP_002944
NK164-3,,"RSK1 (RPS6KA1, p90RSK)",Pan-specific,,Ribosomal S6 protein-serine kinase 1; Ribosomal protein S6 kinase alpha 2,Q15418,NP_002944
NK165,,RSK2,Pan-specific,,Ribosomal S6 protein-serine kinase 2,P51812,NP_004577
NK165-1,RSK2,RSK2 (RPS6KA3),Pan-specific,Rabbit polyclonal,Ribosomal S6 protein-serine kinase 2,P51812,NP_004577
NK165-2,,RSK2 (RPS6KA3),Pan-specific,,,P51812,
NK165-3,,RSK2 (RPS6KA3),Pan-specific,,,P51812,
NK166,RSK4,RSK4 (RPS6KA6),Pan-specific,Rabbit polyclonal,Ribosomal S6 protein-serine kinase 4 (alpha 6),Q9UK32,NP_055311
NK166-2,,RSK4 (RPS6KA6),Pan-specific,,,Q9UK32,
NK167,,RYK,Pan-specific,,RYK tyrosine-protein kinase,P34925,NP_001005861.1
NK168-NK169,,RPS6KB1,Pan-specific,,,P23443,
NK168-NK169-1,,RPS6KB1,Pan-specific,,,P23443,
NK168-NK169-2,,RPS6KB1,Pan-specific,,,P23443,
NK169,,RPS6KB1,Pan-specific,,,P23443,
NK170,SGK3,SGK3,Pan-specific,Rabbit polyclonal,Serum/glucocorticoid regulated kinase 3,Q96BR1,NP_037389.4
NK170-3,,SGK3 (CISK; SGKL),Pan-specific,,,Q96BR1,
NK170-4,,SGK3 (CISK; SGKL),Pan-specific,,,Q96BR1,
NK171,SLK,SLK,Pan-specific,Rabbit polyclonal,STE20-like serine/threonine-protein kinase,Q9H2G2,NP_055535
NK172,Src,Src,Pan-specific,Mouse monoclonal,Src proto-oncogene-encoded protein-tyrosine kinase,P12931,NP_005408
NK172-1,,Src,Pan-specific,,Src proto-oncogene-encoded protein-tyrosine kinase,P12931,NP_005408
NK172-2,,Src,Pan-specific,,Src proto-oncogene-encoded protein-tyrosine kinase,P12931,NP_005408
NK172-3,Src,Src,Pan-specific,Rabbit polyclonal,Src proto-oncogene-encoded protein-tyrosine kinase,P12931,NP_005408
NK172-4,Src,Src,Pan-specific,Mouse monoclonal,Src proto-oncogene-encoded protein-tyrosine kinase,P12931,NP_005408
NK173,STK33,STK33,Pan-specific,Rabbit polyclonal,FLJ35932 protein-serine kinase,Q8NEF5,NP_112168 
NK174,Syk,Syk,Pan-specific,Mouse monoclonal,Spleen protein-tyrosine kinase,P43405,NP_003168
NK175-1,TAK1,TAK1,Pan-specific,Rabbit polyclonal,TGF-beta-activated protein-serine kinase 1,O43318,NP_663306
NK175-2,,TAK1,Pan-specific,,TGF-beta-activated protein-serine kinase 1,O43318,NP_663306
NK175-3,TAK1-CT,TAK1,Pan-specific,Rabbit polyclonal,TGF-beta-activated protein-serine kinase 1,O43318,NP_663306
NK175-4,TAK1,TAK1,Pan-specific,Rabbit polyclonal,TGF-beta-activated protein-serine kinase 1,O43318,NP_663306
NK175-5,TAK1,TAK1,Pan-specific,Mouse monoclonal,TGF-beta-activated protein-serine kinase 1,O43318,NP_663306
NK176,,TEK (TIE2),Pan-specific,,Angiopoietin-1 receptor-tyrosine kinase,Q02763,NP_444515
NK177,Tlk1,Tlk1,Pan-specific,Rabbit polyclonal,Tousled-like protein-serine kinase 1,Q9UKI8,NP_036422
NK177-1,Tlk1,Tlk1,Pan-specific,Rabbit polyclonal,Tousled-like protein-serine kinase 1,Q9UKI8,NP_036422
NK178,,TrkA,Pan-specific,,Nerve growth factor (NGF) receptor-tyrosine kinase,P04629,NP_002520
NK179,,TrkB,Pan-specific,,BNDF/NT3/4/5 receptor- tyrosine kinase,Q16620,NP_006171
NK179-2,,TrkB (NTRK2),Pan-specific,,BNDF/NT3/4/5 receptor- tyrosine kinase,Q16620,NP_006171
NK180,TTK,TTK,Pan-specific,Rabbit polyclonal,Dual specificity protein kinase,P33981,AAA61239.1
NK181,,Tyk2,Pan-specific,,Protein-tyrosine kinase 2 (Jak-related),P29597,NP_003322
NK181-2,,Tyk2,Pan-specific,,Protein-tyrosine kinase 2 (Jak-related),P29597,NP_003322
NK181-3,,TYK2,Pan-specific,,Protein-tyrosine kinase 2 (Jak-related),P29597,NP_003322
NK181-4,,TYK2,Pan-specific,,,P29597,
NK181-5,,TYK2,Pan-specific,,Protein-tyrosine kinase 2 (Jak-related),P29597,NP_003322
NK182,Tyro3,Tyro3,Pan-specific,Mouse monoclonal,Tyrosine-protein kinase receptor TYRO3,Q06418,NP_006284
NK183-1,,DDR2 (Tyro10),Pan-specific,,"Neurotrophic receptor-tyrosine kinase of discoidin domain receptor family, member 2 precursor",Q16832,NP_001014796.1
NK183-2,,Tyro10 (DDR2),Pan-specific,,"Neurotrophic receptor-tyrosine kinase of discoidin domain receptor family, member 2 precursor",Q16832,NP_006173 
NK183-3,,DDR2 (Tyro10),Pan-specific,,"Neurotrophic receptor-tyrosine kinase of discoidin domain receptor family, member 2 precursor",Q16832,NP_001014796.1
NK184,Vrk1,Vrk1,Pan-specific,Rabbit polyclonal,Vaccinia related protein-serine kinase 1,Q99986,NP_003375 
NK185,Wee1-X,Wee1,Pan-specific,Rabbit polyclonal,Wee1 protein-tyrosine kinase,P30291,NP_003381
NK186,Yes,Yes,Pan-specific,Mouse monoclonal,Yamaguchi sarcoma proto-oncogene-encoded tyrosine kinase,P07947,NP_005424
NK186-2,Yes,Yes,Pan-specific,Mouse monoclonal,Yamaguchi sarcoma proto-oncogene-encoded tyrosine kinase,P07947,NP_005424
NK187,ZAP70,ZAP70,Pan-specific,Mouse monoclonal,"Zeta-chain (TCR) associated protein-tyrosine kinase, 70 kDa",P43403,NP_003168
NK187-2,ZAP70,ZAP70,Pan-specific,Rabbit polyclonal,"Zeta-chain (TCR) associated protein-tyrosine kinase, 70 kDa",P43403,NP_003168
NK188-1,,DAPK3 (ZIPK),Pan-specific,,ZIP kinase (death associated protein-serine kinase 3 (DAPK3)),O43293,NP_001339.1
NK188-2,,ZIPK,Pan-specific,,ZIP kinase (death associated protein-serine kinase 3 (DAPK3)),O43293,NP_001339
NK189,,JNK2 (MAPK9),Pan-specific,,Jun N-terminus protein-serine kinase (stress-activated protein kinase (SAPK)) 2,P45984,NP_002744
NK189-2,,JNK2 (MAPK9),Pan-specific,,,P45984,
NK189-3,,JNK2 (MAPK9),Pan-specific,,,P45984,
NK189-4,,JNK2-3,Pan-specific,,,P45984,
NK189-5,,JNK1 (MAPK8),Pan-specific,,Jun N-terminus protein-serine kinase 2 (Stress-activated protein kinase-alpha),P45983,NP_002741
NK190,PAK5,PAK5 (PAK7),Pan-specific,Rabbit polyclonal,p21-activated kinase 5 (serine/threonine-protein kinase PAK 7),Q9P286,NP_817127
NK190-2,,PAK5 (PAK7),Pan-specific,,,Q9P286,
NK190-3,,PAK5 (PAK7),Pan-specific,,,Q9P286,
NK191,PIK3CD,PIK3CD (PI3K p110 delta),Pan-specific,Rabbit polyclonal,"Phosphatidylinositol-4,5-biphosphate 3-kinase catalytic subunit delta isoform",O00329,NP_005017
NK192,,PI4KCB,Pan-specific,,"phosphatidylinositol 4-kinase, catalytic, beta polypeptide",Q5VWC1,NP_002642
NK193,,Aurora B (AIM-1),Pan-specific,,Aurora Kinase B (serine/threonine protein kinase 12),Q96GD4,NP_004208
NK193-2,,AurKB (AurB; AIK2),Pan-specific,,,Q96GD4,
NK193-3,,AurKB (AurB; AIK2),Pan-specific,,,Q96GD4,
NK193-4,,AurKB (AurB; AIK2),Pan-specific,,,Q96GD4,
NK194-NK195-1,GSK 3 beta,GSK3b,Pan-specific,Rabbit polyclonal,Glycogen synthase-serine kinase 3 beta,P49841,NP_002084
NK194-NK195-3,,GSK3b,Pan-specific,,,P49841,
NK194-NK195-4,,GSK3b,Pan-specific,,,P49841,
NK194-NK195-5,,GSK3b,Pan-specific,,,P49841,
NK196,,JNK2 (MAPK9),Pan-specific,,,P45984,
NK197,SAPKb-NT,JNK3 (MAPK10),Pan-specific,Rabbit polyclonal,Jun N-terminus protein-serine kinase (stress-activated protein kinase (SAPKb)) 3,P53779,NP_002744.1 
NK197-2,,JNK3 (MAPK10),Pan-specific,,,P53779,
NK197-3,,JNK3 (MAPK10),Pan-specific,,,P53779,
NK197-4,,JNK3 (MAPK10),Pan-specific,,,P53779,
NK198,,CK1g,Pan-specific,,Casein kinase I gamma 1 isoform,Q9HCP0,NP_071331
NK199,KKIALRE-CT (CDK1L),CDKL1,Pan-specific,Rabbit polyclonal,Cyclin-dependent kinase-like 1,Q00532,NP_004187.2
NK200,,PAK2,Pan-specific,,p21-activated kinase 2 (gamma) (serine/threonine-protein kinase PAK 2),Q13177,NP_002568.2
NK200-2,,PAK2,Pan-specific,,p21-activated kinase 2 (gamma) (serine/threonine-protein kinase PAK 2),Q13177,NP_002568.2
NK201,PKC-III,PKC,Pan-specific,Rabbit polyclonal,Protein-serine kinase C alpha,P17252,NP_002728
NK202,,PKG1a,Pan-specific,,"cGMP-dependent protein kinase 1, alpha isozyme",Q13976,NP_006249
NK202-2,,PKG1a (PRKG1A),Pan-specific,,,Q13976,
NK203,,PKG1b,Pan-specific,,"cGMP-dependent protein kinase 1, beta isozyme",P14619,NP_006249.1
NK204,,CDK1 (CDC2),Pan-specific,,Cyclin-dependent protein-serine kinase 1; Cell division control protein 2 homologue,P06493,NP_001777
NK205,,RafA (Araf),Pan-specific,,A-Raf proto-oncogene serine/threonine-protein kinase,P10398,NP_001645.1  
NK205-2,,RafA (Araf),Pan-specific,,A-Raf proto-oncogene serine/threonine-protein kinase,P10398,NP_001645.1  
NK205-3,,Raf-A (ARaf),Pan-specific,,,P10398,
NK205-4,,Raf-A (ARaf),Pan-specific,,,P10398,
NK205-5,,Raf-A (ARaf),Pan-specific,,,P10398,
NK206-1,,Erk5 (MAPK7),Pan-specific,,Extracellular regulated protein-serine kinase 5 (Big MAP kinase 1 (BMK1)),Q13164,NP_620602
NK206-2,,Erk5 (MAPK7),Pan-specific,,Extracellular regulated protein-serine kinase 5 (Big MAP kinase 1 (BMK1)),Q13164,NP_620602
NK206-3,,Erk5 (MAPK7),Pan-specific,,Extracellular regulated protein-serine kinase 5 (Big MAP kinase 1 (BMK1)),Q13164,NP_620602
NK206-4,,ERK5 (MAPK7; BMK),Pan-specific,,,Q13164,
NK206-5,,ERK5 (MAPK7; BMK),Pan-specific,,,Q13164,
NK207,,NIK (MAP3K14; NLK; LAK1),Pan-specific,,Serine/threonine protein kinase NLK,Q99558,NP_003945.2
NK207-2,,NIK (MAP3K14; NLK; LAK1),Pan-specific,,NF-kappa beta-inducing kinase (nemo-like kinase),Q99558,NP_003945.2
NK208,MLK3,MLK3,Pan-specific,Rabbit polyclonal,Mixed-lineage protein-serine kinase 3,Q16584,NP_002410
NK209,,PIP5K2a,Pan-specific,,Phosphatidylinositol 4-phosphatase 5-kinase type 2 alpha,P48426,NP_005019.2
NK210,DAPK1,DAPK1,Pan-specific,Rabbit polyclonal,Death-associated protein kinase 1,P53355,NP_004929
NK211,,CAMK1a,Pan-specific,,Calcium/calmodulin-dependent protein-serine kinase 1 alpha,Q14012,NP_003647.1
NK212,NLK,NLK,Pan-specific,Goat polyclonal,Serine/threonine protein kinase NLK,Q9UBE8,NP_057315.3
NK213,,PITSLRE,Pan-specific,,PITSLRE serine/threonine-protein kinase CDC2L1,P21127,NP_277021.1
NK214,,YSK1,Pan-specific,,Serine/threonine-protein kinase 25,O00506,NP_006365.2  
NK217,MAPK p49(JNK1),JNK1 (MAPK8),Pan-specific,Mouse monoclonal,Jun N-terminus protein-serine kinase (stress-activated protein kinase (SAPK)) 1,P45983,NP_620637.1
NK217-2,,JNK1 (MAPK8; SAPK1),Pan-specific,,,P45983,
NK217-3,,JNK1 (MAPK8; SAPK1),Pan-specific,,,P45983,
NK218,,PKCh,Pan-specific,,Protein kinase C eta type,P24723,NP_006246.2
NK219,DGKZ,DGKz,Pan-specific,Rabbit polyclonal,Diacylglycerol kinase zeta,Q13574,NP_963290
NK220-1,TBK1,TBK1,Pan-specific,Mouse monoclonal,Serine/threonine-protein kinase TBK1,Q9UHD2,NP_037386
NK220-2,TBK1,TBK1,Pan-specific,Rabbit polyclonal,Serine/threonine-protein kinase TBK1,Q9UHD2,NP_037386
NK221,,MEK1/2 (MAP2K1/2),Pan-specific,,MAPK/ERK protein-serine kinase 1/2 (MKK1/2),Q02750,NP_002746
NK222,,S6Kb2,Pan-specific,,Ribosomal protein-serine S6 kinase beta 2,Q9UBS0,NP_003943
NK223,,S6Kb1,Pan-specific,,Ribosomal protein-serine S6 kinase beta 1,P23443,NP_003152
NK223-1,,S6Kb1,Pan-specific,,Ribosomal protein-serine S6 kinase beta 1,P23443,NP_003152
NK223-2,,"p70S6K (S6Ka, RPS6KB1)",Pan-specific,,Ribosomal protein S6 kinase beta-1; Ribosomal protein S6 kinase 1,P23443,NP_003152
NK223-4,,"p70S6K (S6Ka, RPS6KB1)",Pan-specific,,Ribosomal protein S6 kinase beta-1; Ribosomal protein S6 kinase 1,P23443,NP_003152
NK224,,PAK1/2/3,Pan-specific,,p21-activated kinase 1/2/3 (serine/threonine-protein kinase PAK 1/2/3),Q13153,NP_002567
NK225-2,,MEKK6 (MAP3K6; ASK2),Pan-specific,,,O95382,
NK225-3,,MEKK6 (MAP3K6; ASK2),Pan-specific,,,O95382,
NK225-4,,MEKK6 (MAP3K6; ASK2),Pan-specific,,,O95382,
NK226-1,,VEGFR1 (Flt1),Pan-specific,,,P17948,
NK226-2,,VEGFR1 (Flt1),Pan-specific,,,P17948,
NK227-2,,LKB1 (STK11; STRAD),Pan-specific,,,Q15831,
NK227-3,,LKB1 (STK11; STRAD),Pan-specific,,,Q15831,
NK227-4,,LKB1 (STK11; STRAD),Pan-specific,,,Q15831,
NK229-2,,MELK,Pan-specific,,,Q14680,
NK229-3,,MELK,Pan-specific,,,Q14680,
NK229-4,,MELK,Pan-specific,,,Q14680,
NK230,,ATM,Pan-specific,,,Q13315,
NK230-1,,ATM,Pan-specific,,,Q13315,
NK230-2,,ATM,Pan-specific,,,Q13315,
NK230-3,,ATM-3,Pan-specific,,,Q13315,
NK231,,ErbB3 (HER3),Pan-specific,,,P21860,
NK231-2,,ErbB3 (HER3),Pan-specific,,,P21860,
NK231-2P,,ErbB3 (HER3),Pan-specific,,,P21860,
NK231-3,,ErbB3 (HER3),Pan-specific,,,P21860,
NK231-4,,ErbB3 (HER3),Pan-specific,,,P21860,
NK232,,TRRAP,Pan-specific,,,Q9Y4A5,
NK232-1,,TRRAP,Pan-specific,,,Q9Y4A5,
NK232-2,,TRRAP-3,Pan-specific,,,Q9Y4A5,
NK232-3,,TRRAP,Pan-specific,,,Q9Y4A5,
NK233-1,,SMG1,Pan-specific,,,Q96Q15,
NK233-2,,SMG1,Pan-specific,,,Q96Q15,
NK233-3,,SMG1,Pan-specific,,,Q96Q15,
NK234-2,,CD115,Pan-specific,,Macrophage colony-stimulating factor 1 receptor,P07333,
NK234-3,,CSF1R (Fms),Pan-specific,,,P07333,
NK234-4,,CSF1R (Fms),Pan-specific,,,P07333,
NK235-1,,ErbB4 (HER4),Pan-specific,,,Q15303,
NK235-2,,ErbB4 (HER4),Pan-specific,,,Q15303,
NK235-3,,ErbB4 (HER4),Pan-specific,,,Q15303,
NK236-1,,FGFR3,Pan-specific,,,P22607,
NK236-2,,FGFR3,Pan-specific,,,P22607,
NK236-3,,FGFR3,Pan-specific,,,P22607,
NK237-1,,ATR,Pan-specific,,,Q13535,
NK237-2,,ATR,Pan-specific,,,Q13535,
NK237-3,,ATR,Pan-specific,,,Q13535,
NK238-1,,Abl2 (Arg),Pan-specific,,Abelson murine leukemia viral oncogene homologue 2,P42684,NP_009298.1
NK239-1,,FGFR4,Pan-specific,,,P22455,
NK239-3,,FGFR4,Pan-specific,,,P22455,
NK240-1,,FLT3 (STK1; CD135),Pan-specific,,,P36888,
NK240-2,,FLT3 (STK1; CD135),Pan-specific,,,P36888,
NK241-1,,Kit,Pan-specific,,,P10721,
NK241-2,,Kit,Pan-specific,,,P10721,
NK241-3,,Kit,Pan-specific,,,P10721,
NK241-4,,Kit,Pan-specific,,Mast/stem cell growth factor receptor Kit,P10721,NP_006566
NK242-1,,PDGFRA,Pan-specific,,,P16234,
NK242-2,,PDGFRA,Pan-specific,,,P16234,
NK243-1,,PDGFRB,Pan-specific,,,P09619,
NK243-3,,PDGFRB,Pan-specific,,,P09619,
NK244-1,,Ret (GDNF receptor),Pan-specific,,,P07949,
NK244-2,,Ret (GDNF receptor),Pan-specific,,,P07949,
NK244-3,,Ret (GDNF receptor),Pan-specific,,,P07949,
NK244-4,,Ret (GDNF receptor),Pan-specific,,Proto-oncogene tyrosine-protein kinase receptor Ret,P07949,NP_065681
NK245-1,,VEGFR2 (KDR),Pan-specific,,,P35968,
NK245-2,,VEGFR2 (KDR),Pan-specific,,,P35968,
NK245-3,,VEGFR2 (KDR),Pan-specific,,,P35968,
NK247-1,,Obscn,Pan-specific,,,Q5VST9,
NK247-2,,Obscn,Pan-specific,,,Q5VST9,
NK247-3,,Obscn,Pan-specific,,,Q5VST9,
NK248-1,,p38b MAPK (MAPK11),Pan-specific,,,Q15759,
NK248-2,,p38b MAPK (MAPK11),Pan-specific,,,Q15759,
NK249-1,,SIK2 (QIK),Pan-specific,,,Q9H0K1,
NK249-2,,SIK2 (QIK),Pan-specific,,,Q9H0K1,
NK249-3,,SIK2 (QIK),Pan-specific,,,Q9H0K1,
